account,signal,value,source,collected_at
Bristol Myers Squibb,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:16:15+00:00
Amgen,ai_announce,28,SEC EDGAR: 4 AI-referencing filings (180d),2026-09-05T07:16:15+00:00
Gilead Sciences,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:16:16+00:00
Moderna,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:16:17+00:00
Regeneron,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:16:17+00:00
Vertex Pharmaceuticals,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:18+00:00
Thermo Fisher Scientific,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:19+00:00
UnitedHealth Group,ai_announce,42,SEC EDGAR: 6 AI-referencing filings (180d),2026-09-05T07:16:19+00:00
Elevance Health,ai_announce,49,SEC EDGAR: 7 AI-referencing filings (180d),2026-09-05T07:16:20+00:00
Cigna,ai_announce,35,SEC EDGAR: 5 AI-referencing filings (180d),2026-09-05T07:16:20+00:00
CVS Health,ai_announce,7,SEC EDGAR: 1 AI-referencing filings (180d),2026-09-05T07:16:21+00:00
HCA Healthcare,ai_announce,35,SEC EDGAR: 5 AI-referencing filings (180d),2026-09-05T07:16:22+00:00
Humana,ai_announce,42,SEC EDGAR: 6 AI-referencing filings (180d),2026-09-05T07:16:22+00:00
Medtronic,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:16:23+00:00
Abbott Laboratories,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:23+00:00
Intuitive Surgical,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:16:24+00:00
Stryker,ai_announce,21,SEC EDGAR: 3 AI-referencing filings (180d),2026-09-05T07:16:24+00:00
Tesla,ai_announce,35,SEC EDGAR: 5 AI-referencing filings (180d),2026-09-05T07:16:25+00:00
Ford Motor,ai_announce,28,SEC EDGAR: 4 AI-referencing filings (180d),2026-09-05T07:16:26+00:00
General Motors,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:26+00:00
Rivian,ai_announce,70,SEC EDGAR: 10 AI-referencing filings (180d),2026-09-05T07:16:27+00:00
Toyota (Americas),ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:27+00:00
Stellantis,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:28+00:00
Cummins,ai_announce,28,SEC EDGAR: 4 AI-referencing filings (180d),2026-09-05T07:16:28+00:00
Boeing,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:29+00:00
Lockheed Martin,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:30+00:00
RTX,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:30+00:00
General Dynamics,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:31+00:00
Northrop Grumman,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:31+00:00
Honeywell,ai_announce,28,SEC EDGAR: 4 AI-referencing filings (180d),2026-09-05T07:16:32+00:00
GE Aerospace,ai_announce,35,SEC EDGAR: 5 AI-referencing filings (180d),2026-09-05T07:16:33+00:00
Caterpillar,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:16:33+00:00
Deere & Company,ai_announce,42,SEC EDGAR: 6 AI-referencing filings (180d),2026-09-05T07:16:34+00:00
Emerson Electric,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:35+00:00
Illinois Tool Works,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:16:35+00:00
Parker Hannifin,ai_announce,7,SEC EDGAR: 1 AI-referencing filings (180d),2026-09-05T07:16:36+00:00
Eaton,ai_announce,28,SEC EDGAR: 4 AI-referencing filings (180d),2026-09-05T07:16:36+00:00
Rockwell Automation,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:16:37+00:00
